   1 0.5419632E+02
   1 0.5466987E+02
   1 0.5477550E+02
   1 0.5429086E+02
   1 0.5375220E+02
   1 0.5452232E+02
   1 0.5492573E+02
   1 0.5230713E+02
   1 0.2219793E+02
   1 0.5408336E+02
   1 0.5443176E+02
   1 0.5437850E+02
   1 0.5428802E+02
   1 0.5436111E+02
   1 0.5485730E+02
   1 0.5452550E+02
   1 0.5392031E+02
   1 0.5476989E+02
   1 0.5456159E+02
   1 0.5474611E+02
   1 0.5464521E+02
   1 0.2913602E+02
   1 0.5408146E+02
   1 0.5439409E+02
   1 0.5451002E+02
   1 0.5413057E+02
   1 0.5504374E+02
   1 0.5401111E+02
   1 0.5407070E+02
   1 0.5399159E+02
   1 0.5475190E+02
   1 0.5398705E+02
   1 0.5419478E+02
   1 0.5384306E+02
   1 0.5445321E+02
   1 0.5485086E+02
   1 0.5494196E+02
   1 0.5382380E+02
   1 0.5398788E+02
   1 0.5467229E+02
   1 0.5451543E+02
   1 0.5387673E+02
   1 0.5428906E+02
   1 0.5460751E+02
   1 0.5434992E+02
   1 0.5507904E+02
   1 0.5327196E+02
   1 0.5434781E+02
   1 0.5455207E+02
   1 0.5380842E+02
   1 0.5276207E+02
   1 0.5432306E+02
   1 0.5501192E+02
   1 0.5414750E+02
   1 0.5417354E+02
   1 0.5402591E+02
   1 0.5495670E+02
   1 0.4921960E+02
   1 0.5368022E+02
   1 0.5450556E+02
   1 0.5527670E+02
   1 0.5486290E+02
   1 0.5368516E+02
   1 0.5495611E+02
   1 0.5548979E+02
   1 0.5412847E+02
   1 0.5476315E+02
   1 0.5399987E+02
   1 0.5418554E+02
   1 0.5415119E+02
   1 0.5359323E+02
   1 0.5473406E+02
   1 0.5470286E+02
   1 0.5492388E+02
   1 0.5463983E+02
   1 0.5453580E+02
   1 0.5493492E+02
   1 0.5382501E+02
   1 0.5471956E+02
   1 0.4709789E+02
   1 0.5506883E+02
   1 0.5421515E+02
   1 0.5209732E+02
   1 0.5488479E+02
   1 0.5449026E+02
   1 0.5481380E+02
   1 0.5376682E+02
   1 0.5432830E+02
   1 0.5382352E+02
   1 0.5428671E+02
   1 0.5502416E+02
   1 0.5492611E+02
   1 0.5564806E+02
   1 0.5504103E+02
   1 0.5479545E+02
   1 0.5397520E+02
   1 0.5402594E+02
   1 0.5458186E+02
   1 0.5458329E+02
   1 0.5435168E+02
   1 0.5466997E+02
   1 0.5400966E+02
   1 0.5431135E+02
   1 0.5504242E+02
   1 0.5512541E+02
   1 0.5440414E+02
   1 0.5504957E+02
   1 0.5427736E+02
   1 0.5400309E+02
   1 0.4934734E+02
   1 0.5463007E+02
   1 0.5455004E+02
   1 0.5423197E+02
   1 0.5395496E+02
   1 0.5388039E+02
   1 0.5343203E+02
   1 0.5483290E+02
   1 0.5462283E+02
   1 0.5370087E+02
   1 0.5494648E+02
   1 0.5451289E+02
   1 0.5443245E+02
   1 0.5508018E+02
   1 0.5405817E+02
   1 0.5388704E+02
   1 0.5392957E+02
   1 0.5492821E+02
   1 0.5443759E+02
   1 0.5438767E+02
   1 0.5368985E+02
   1 0.5446335E+02
   1 0.5440900E+02
   1 0.5431880E+02
   1 0.5470696E+02
   1 0.5355337E+02
   1 0.5470990E+02
   1 0.5459337E+02
   1 0.5451689E+02
   1 0.5421868E+02
   1 0.4580717E+02
   1 0.5481866E+02
   1 0.5319100E+02
   1 0.5457539E+02
   1 0.5459285E+02
   1 0.5427771E+02
   1 0.5414515E+02
